route_id,route_name,stop_id,stop_sequence,latitude,longitude,stop_name,distance_to_next,cumulative_distance,estimated_travel_time_min,normal_day_time_min,morning_traffic_time_min,route_segment,travel_time_category,distance_category,condition
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,24,24,-1.96918,30.08676,Rwandex,0.451917761,18.97374751,0.566515574,0.629461749,0.809307963,Mid,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,25,25,-1.96752,30.08285,Kwa Mironko2,0.393785121,19.42566527,0.480387587,0.533763985,0.686267981,Mid,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,26,26,-1.96489,30.08039,KN 3 Rd_6,0.409601791,19.81945039,0.489891946,0.544324385,0.699845638,Late,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,27,27,-1.96249,30.07761,Volta Super1,0.580853781,20.22905218,0.72195345,0.802170501,1.031362072,Late,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,28,28,-1.9573,30.07608,Ku Mazi1,0.803807318,20.80990596,0.953818352,1.059798169,1.362597645,Late,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,29,29,-1.95026,30.07484,Chez Rasta,0.407793623,21.61371328,0.49833187,0.553702078,0.711902672,Late,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,30,30,-1.94667,30.07381,One Love,0.794771689,22.0215069,0.962145583,1.069050648,1.37449369,Late,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,31,31,-1.94101,30.06934,Forex Form_Poids Lourd,0.710088552,22.81627859,0.867770562,0.964189513,1.239672231,Late,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,32,32,-1.93686,30.06433,Kigali Gaz_Kinamba,0.482720757,23.52636715,0.548770633,0.609745147,0.783958046,Late,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,33,33,-1.93549,30.06045,Kinamba Bridge,0.778249769,24.0090879,0.934278027,1.038086697,1.334682896,Late,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,34,34,-1.93596,30.05346,Handicap HQs,0.541045404,24.78733767,0.670531335,0.745034816,0.957901907,Late,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,35,35,-1.93841,30.04907,Ku Magare,0.558456203,25.32838308,0.654008893,0.726676548,0.934298419,Late,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,36,36,-1.94073,30.04475,Nyabugogo Bus Park,0.01,25.88683928,0,0,0,Late,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,1,1,-1.97922,30.22352,Kabuga Bus Park1,0.984563544,0,1.552172094,1.293476745,1.66304153,Start,Very Short,Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,2,2,-1.98699,30.21955,Masaka Hospital,3.322248859,0.984563544,5.337738737,4.448115614,5.719005789,Start,Medium,Far,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,3,3,-1.99804,30.19164,Masaka Bus Terminal,0.246192687,4.306812403,0.386400287,0.322000239,0.414000308,Start,Very Short,Very Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,4,4,-1.99587,30.19155,Masaka Rd_2,0.335306543,4.55300509,0.513048809,0.427540674,0.549695152,Start,Very Short,Very Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,5,5,-1.99302,30.19111,Masaka Health Centre,0.383821771,4.888311633,0.618459263,0.515382719,0.662634924,Start,Very Short,Very Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,6,6,-1.99001,30.19285,Masaka Rd_1,0.553450405,5.272133403,0.89178464,0.743153867,0.955483543,Start,Very Short,Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,7,7,-1.98532,30.19108,At 19_Inyange1,1.228813219,5.825583808,1.877167731,1.564306442,2.01125114,Start,Very Short,Medium,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,8,8,-1.9792,30.18248,KK 3 Rd_15,0.224168177,7.054397028,0.350597267,0.29216439,0.375639929,Early,Very Short,Very Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,9,9,-1.97749,30.1815,Kibaya Minagri,0.527422992,7.278565204,0.855931931,0.713276609,0.917069926,Early,Very Short,Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,10,10,-1.97365,30.1786,Bus Route 107_3,0.420617463,7.805988196,0.662209291,0.551841076,0.709509955,Early,Very Short,Very Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,11,11,-1.97129,30.17572,Mulindi1,0.704346164,8.226605659,1.142842262,0.952368552,1.224473852,Early,Very Short,Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,12,12,-1.96891,30.16975,KK 3 Rd_11,0.744273597,8.930951823,1.207711775,1.006426479,1.293976902,Early,Very Short,Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,13,13,-1.96715,30.16319,At 15 Ndera1,1.787430794,9.67522542,2.839279316,2.366066096,3.042084981,Early,Short,Medium,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,14,14,-1.95801,30.1501,SEZ B2,1.234185477,11.46265621,2.094943165,1.745785971,2.244581962,Early,Short,Medium,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,15,15,-1.95409,30.13899,Kigali Parents School2,0.808335872,12.69684169,1.363916724,1.13659727,1.461339347,Early,Very Short,Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,16,16,-1.95748,30.13211,La Parisse1,1.00068428,13.50517756,1.628566527,1.357138773,1.744892708,Mid,Very Short,Medium,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,17,17,-1.96272,30.1246,Ku Cyamutzig,1.037752431,14.50586184,1.712436148,1.427030123,1.834753015,Mid,Very Short,Medium,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,18,18,-1.96011,30.11533,Prince House2,0.376060601,15.54361427,0.596077489,0.496731241,0.638654453,Mid,Very Short,Very Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,19,19,-1.9612,30.11216,Alpha Palace Hotel,0.385359837,15.91967487,0.633842055,0.528201713,0.679116488,Mid,Very Short,Very Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,20,20,-1.96281,30.10898,Good Year2,0.964181241,16.30503471,1.610944262,1.342453552,1.726011709,Mid,Very Short,Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,21,21,-1.9682,30.1017,Sonatubes,0.438238009,17.26921595,0.671648779,0.559707316,0.719623692,Mid,Very Short,Very Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,22,22,-1.96891,30.09799,Bralirwa3,0.422027532,17.70745396,0.679848864,0.56654072,0.728409497,Mid,Very Short,Very Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,23,23,-1.96807,30.09426,Amasezerano,0.844266014,18.12948149,1.34809459,1.123412158,1.444387061,Mid,Very Short,Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,24,24,-1.96918,30.08676,Rwandex,0.451917761,18.97374751,0.755354099,0.629461749,0.809307963,Mid,Very Short,Very Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,25,25,-1.96752,30.08285,Kwa Mironko2,0.393785121,19.42566527,0.640516782,0.533763985,0.686267981,Mid,Very Short,Very Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,26,26,-1.96489,30.08039,KN 3 Rd_6,0.409601791,19.81945039,0.653189262,0.544324385,0.699845638,Late,Very Short,Very Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,27,27,-1.96249,30.07761,Volta Super1,0.580853781,20.22905218,0.962604601,0.802170501,1.031362072,Late,Very Short,Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,28,28,-1.9573,30.07608,Ku Mazi1,0.803807318,20.80990596,1.271757802,1.059798169,1.362597645,Late,Very Short,Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,29,29,-1.95026,30.07484,Chez Rasta,0.407793623,21.61371328,0.664442493,0.553702078,0.711902672,Late,Very Short,Very Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,30,30,-1.94667,30.07381,One Love,0.794771689,22.0215069,1.282860777,1.069050648,1.37449369,Late,Very Short,Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,31,31,-1.94101,30.06934,Forex Form_Poids Lourd,0.710088552,22.81627859,1.157027415,0.964189513,1.239672231,Late,Very Short,Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,32,32,-1.93686,30.06433,Kigali Gaz_Kinamba,0.482720757,23.52636715,0.731694177,0.609745147,0.783958046,Late,Very Short,Very Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,33,33,-1.93549,30.06045,Kinamba Bridge,0.778249769,24.0090879,1.245704036,1.038086697,1.334682896,Late,Very Short,Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,34,34,-1.93596,30.05346,Handicap HQs,0.541045404,24.78733767,0.894041779,0.745034816,0.957901907,Late,Very Short,Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,35,35,-1.93841,30.04907,Ku Magare,0.558456203,25.32838308,0.872011857,0.726676548,0.934298419,Late,Very Short,Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,36,36,-1.94073,30.04475,Nyabugogo Bus Park,0.01,25.88683928,0,0,0,Late,Very Short,Very Close,rainy_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,1,1,-1.97922,30.22352,Kabuga Bus Park1,0.984563544,0,1.034781396,1.293476745,1.66304153,Start,Very Short,Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,2,2,-1.98699,30.21955,Masaka Hospital,3.322248859,0.984563544,3.558492491,4.448115614,5.719005789,Start,Short,Far,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,3,3,-1.99804,30.19164,Masaka Bus Terminal,0.246192687,4.306812403,0.257600192,0.322000239,0.414000308,Start,Very Short,Very Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,4,4,-1.99587,30.19155,Masaka Rd_2,0.335306543,4.55300509,0.342032539,0.427540674,0.549695152,Start,Very Short,Very Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,5,5,-1.99302,30.19111,Masaka Health Centre,0.383821771,4.888311633,0.412306175,0.515382719,0.662634924,Start,Very Short,Very Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,6,6,-1.99001,30.19285,Masaka Rd_1,0.553450405,5.272133403,0.594523093,0.743153867,0.955483543,Start,Very Short,Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,7,7,-1.98532,30.19108,At 19_Inyange1,1.228813219,5.825583808,1.251445154,1.564306442,2.01125114,Start,Very Short,Medium,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,8,8,-1.9792,30.18248,KK 3 Rd_15,0.224168177,7.054397028,0.233731512,0.29216439,0.375639929,Early,Very Short,Very Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,9,9,-1.97749,30.1815,Kibaya Minagri,0.527422992,7.278565204,0.570621287,0.713276609,0.917069926,Early,Very Short,Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,10,10,-1.97365,30.1786,Bus Route 107_3,0.420617463,7.805988196,0.441472861,0.551841076,0.709509955,Early,Very Short,Very Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,11,11,-1.97129,30.17572,Mulindi1,0.704346164,8.226605659,0.761894841,0.952368552,1.224473852,Early,Very Short,Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,12,12,-1.96891,30.16975,KK 3 Rd_11,0.744273597,8.930951823,0.805141183,1.006426479,1.293976902,Early,Very Short,Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,13,13,-1.96715,30.16319,At 15 Ndera1,1.787430794,9.67522542,1.892852877,2.366066096,3.042084981,Early,Very Short,Medium,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,14,14,-1.95801,30.1501,SEZ B2,1.234185477,11.46265621,1.396628776,1.745785971,2.244581962,Early,Very Short,Medium,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,15,15,-1.95409,30.13899,Kigali Parents School2,0.808335872,12.69684169,0.909277816,1.13659727,1.461339347,Early,Very Short,Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,16,16,-1.95748,30.13211,La Parisse1,1.00068428,13.50517756,1.085711018,1.357138773,1.744892708,Mid,Very Short,Medium,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,17,17,-1.96272,30.1246,Ku Cyamutzig,1.037752431,14.50586184,1.141624098,1.427030123,1.834753015,Mid,Very Short,Medium,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,18,18,-1.96011,30.11533,Prince House2,0.376060601,15.54361427,0.397384993,0.496731241,0.638654453,Mid,Very Short,Very Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,19,19,-1.9612,30.11216,Alpha Palace Hotel,0.385359837,15.91967487,0.42256137,0.528201713,0.679116488,Mid,Very Short,Very Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,20,20,-1.96281,30.10898,Good Year2,0.964181241,16.30503471,1.073962841,1.342453552,1.726011709,Mid,Very Short,Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,21,21,-1.9682,30.1017,Sonatubes,0.438238009,17.26921595,0.447765853,0.559707316,0.719623692,Mid,Very Short,Very Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,22,22,-1.96891,30.09799,Bralirwa3,0.422027532,17.70745396,0.453232576,0.56654072,0.728409497,Mid,Very Short,Very Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,23,23,-1.96807,30.09426,Amasezerano,0.844266014,18.12948149,0.898729727,1.123412158,1.444387061,Mid,Very Short,Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,24,24,-1.96918,30.08676,Rwandex,0.451917761,18.97374751,0.503569399,0.629461749,0.809307963,Mid,Very Short,Very Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,25,25,-1.96752,30.08285,Kwa Mironko2,0.393785121,19.42566527,0.427011188,0.533763985,0.686267981,Mid,Very Short,Very Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,26,26,-1.96489,30.08039,KN 3 Rd_6,0.409601791,19.81945039,0.435459508,0.544324385,0.699845638,Late,Very Short,Very Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,27,27,-1.96249,30.07761,Volta Super1,0.580853781,20.22905218,0.6417364,0.802170501,1.031362072,Late,Very Short,Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,28,28,-1.9573,30.07608,Ku Mazi1,0.803807318,20.80990596,0.847838535,1.059798169,1.362597645,Late,Very Short,Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,29,29,-1.95026,30.07484,Chez Rasta,0.407793623,21.61371328,0.442961662,0.553702078,0.711902672,Late,Very Short,Very Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,30,30,-1.94667,30.07381,One Love,0.794771689,22.0215069,0.855240518,1.069050648,1.37449369,Late,Very Short,Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,31,31,-1.94101,30.06934,Forex Form_Poids Lourd,0.710088552,22.81627859,0.77135161,0.964189513,1.239672231,Late,Very Short,Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,32,32,-1.93686,30.06433,Kigali Gaz_Kinamba,0.482720757,23.52636715,0.487796118,0.609745147,0.783958046,Late,Very Short,Very Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,33,33,-1.93549,30.06045,Kinamba Bridge,0.778249769,24.0090879,0.830469357,1.038086697,1.334682896,Late,Very Short,Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,34,34,-1.93596,30.05346,Handicap HQs,0.541045404,24.78733767,0.596027853,0.745034816,0.957901907,Late,Very Short,Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,35,35,-1.93841,30.04907,Ku Magare,0.558456203,25.32838308,0.581341238,0.726676548,0.934298419,Late,Very Short,Close,late_night
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,36,36,-1.94073,30.04475,Nyabugogo Bus Park,0.01,25.88683928,0,0,0,Late,Very Short,Very Close,late_night
